part_type,height_mean,height_max,height_min,length_mean,length_max,length_min,width_mean,width_max,width_min
Spark Plug Wires - Bulk Wire,6.811428571428571,7.881604693036232,5.7412524498209105,10.05642857142857,10.790673441532327,9.322183701324814,11.715,14.005542763140644,9.424457236859356
Spark Plug Wire Markers,2.1616666666666666,3.6479350007455387,0.6753983325877946,4.909999999999999,5.677367261684837,4.142632738315162,2.9766666666666666,3.272181353914886,2.681151979418447
Ignition Wire Looms & Separators,2.3370114942528732,2.910211721536421,1.7638112669693253,8.793563218390807,9.635475159369353,7.951651277412261,6.2175862068965495,6.863909899598404,5.571262514194695
Spark Plug Wire Components,5.4102,6.32989368667662,4.49050631332338,4.904940000000001,5.694598540107352,4.11528145989265,5.720600000000001,6.487654160810745,4.953545839189257
Wire Crimping Tools,1.470909090909091,2.097864773024773,0.8439534087934087,10.534545454545453,12.179879553270597,8.88921135582031,3.9227272727272724,4.63065074313508,3.2148038023194654
HEI Power Pigtails,3.2133333333333334,4.918498259939693,1.5081684067269736,4.396666666666667,7.105192305713426,1.688141027619909,2.37,3.801022655447781,0.9389773445522192
Spark Plug Wire Sleeving,2.835,3.8071016901994197,1.8628983098005802,5.53,6.5404037704240565,4.519596229575944,3.6079999999999997,4.471932911965355,2.7440670880346447
Spark Plug Wires - Single,3.1737499999999996,4.552724723294312,1.7947752767056875,5.89875,7.439859092606146,4.357640907393853,4.675,5.457541227584155,3.8924587724158446
Electrical Switches,2.5573916666666667,2.7886946594120845,2.326088673921249,4.247104166666667,4.594171253939673,3.9000370793936616,2.3895625000000016,2.575117564330682,2.2040074356693213
Oil Pressure Safety Switches,1.0955555555555556,1.1674159326941989,1.0236951784169124,2.9055555555555554,3.3749165155788567,2.436194595532254,1.3866666666666667,1.5421321661295777,1.2312011672037557
Engine Brushes,2.624,4.331090240047929,0.9169097599520717,19.912,27.664288501703854,12.159711498296144,4.262,5.534221711305586,2.9897782886944135
Generator Overhaul Kits,1.09,,,5.03,,,4.61,,
Exhaust Wrap Fasteners,0.565,1.2805113277238904,-0.15051132772389053,15.24,16.490088756483118,13.989911243516882,2.76,4.799618497419825,0.7203815025801741
Ignition Modules,2.9581395348837214,3.5740691991888074,2.3422098705786354,4.98832558139535,5.619752158256567,4.356899004534133,4.134186046511628,4.612721891087649,3.6556502019356074
Electronic Distributor Conversion Kits,2.77125,3.867898356615485,1.6746016433845152,7.522500000000001,8.424135044630322,6.6208649553696794,4.4825,4.6669969338006405,4.298003066199359
Voltage Regulator & Rectifiers,2.961296296296296,3.2459450105702503,2.6766475820223414,5.126111111111113,5.5073270283921065,4.74489519383012,3.6548148148148147,3.9690816298858937,3.3405479997437357
Distributor Advance Kits,2.0142857142857142,2.9416888353551682,1.0868825932162602,5.482857142857143,6.378118697327299,4.5875955883869874,3.1457142857142855,3.644979669326613,2.646448902101958
Brake Bleeders,0.9091666666666667,1.2693685974989048,0.5489647358344285,3.674583333333333,4.653220147191453,2.6959465194752132,3.5097916666666666,4.641551084212409,2.378032249120924
Wheel Cylinders,2.276578947368421,2.3801387699416425,2.173019124795199,4.248947368421053,4.684139594599671,3.813755142242435,1.9897368421052632,2.131046191276752,1.8484274929337745
Ignition System Combo Kits,7.987333333333334,8.597363750106423,7.377302916560244,16.858666666666668,17.769328740487854,15.948004592845482,9.747333333333332,10.800599376097828,8.694067290568835
Starters,6.392165605095542,6.558476377743326,6.225854832447758,11.077452229299364,11.36444378864853,10.7904606699502,7.4969426751592385,7.738727593018682,7.255157757299795
Starter Solenoids,3.189722222222222,3.478831014872322,2.900613429572122,6.119444444444444,6.706049221553981,5.5328396673349065,3.3741666666666665,3.820509337333738,2.927823995999595
Relays,3.9147794871794885,4.297925845810656,3.5316331285483202,6.43969743589744,7.021623684433604,5.8577711873612754,4.440256410256409,4.937595813157484,3.9429170073553337
Petcocks,0.8988888888888888,1.700798117808346,0.09697965996943181,4.245555555555556,6.048315862555516,2.4427952485555964,2.3677777777777775,3.9676246692246,0.7679308863309549
Distributors,14.157788778877892,14.699057502369019,13.616520055386765,9.163333333333332,9.561180566546081,8.765486100120583,7.651584158415844,7.951469952929619,7.351698363902068
HEI Distributor Upgrade Kits,8.208333333333334,9.618728046749133,6.7979386199175345,10.133333333333333,13.54593666366401,6.7207300030026556,9.316666666666668,9.66278146240438,8.970551870928956
Gauges - Analog,4.727013888888877,4.7470541398205475,4.706973637957206,5.381672979797965,5.413098152085429,5.3502478075105016,5.152455808080806,5.17745318458569,5.1274584315759215
Fuel Pressure Regulators,2.913237410071942,3.0676229994081616,2.758851820735722,5.3471223021582714,5.687084632309407,5.007159972007136,4.265611510791366,4.491166811237115,4.040056210345618
Fuel Pumps - Electric External,4.482222222222224,4.810012035127003,4.154432409317445,8.667564102564102,9.221203776765579,8.113924428362624,6.393418803418805,6.736392336110641,6.050445270726969
Fuel Pumps - Electric In-Tank,6.3529907834101405,6.705229285979944,6.000752280840337,10.710138248847926,11.311908795955503,10.108367701740349,7.544801843317972,8.144800487554413,6.944803199081531
Distributor Points & Condenser Kits,2.4233333333333333,4.1849844514994405,0.6616822151672257,3.8283333333333336,5.716801125204874,1.939865541461793,3.248333333333333,4.138201848083197,2.3584648185834687
Ignition Tune-Up Kits,6.759000000000001,7.073757794683826,6.4442422053161765,14.198916666666669,14.50724608391407,13.890587249419267,8.799416666666666,9.387897850590903,8.210935482742428
Vise Jaw Inserts,3.9,,,6.4,,,6.4,,
Tonneau Cover Replacement Parts,1.3333333333333333,1.8816178756504907,0.7850487910161759,8.333333333333334,11.074756044919122,5.591910621747546,6.666666666666667,8.859804835935297,4.473528497398037
Tonneau Covers - RollUp,6.346962025316455,6.652040275853078,6.041883774779833,72.06607594936709,74.85300281352977,69.27914908520441,13.68487341772152,14.683550617933099,12.68619621750994
Bed Mats,9.058270676691729,9.364840826912719,8.751700526470739,69.13533834586467,70.85922267386758,67.41145401786176,9.118421052631579,9.420582712870239,8.816259392392919
Tailgate Protectors,5.318363636363636,6.184381224222509,4.452346048504763,57.62590909090908,60.55384480860854,54.69797337320963,9.784090909090908,11.072306445974146,8.49587537220767
Cleaning Solutions,4.608235294117647,5.5114382239689155,3.7050323642663794,8.534117647058823,9.04966196338233,8.018573330735315,6.682352941176471,7.546129742802923,5.818576139550019
Tailgate Seals,10.272727272727273,13.344694116235079,7.200760429219468,16.818181818181817,19.52384610451475,14.112517531848882,16.363636363636363,19.25776918299129,13.469503544281437
Mud Flaps,5.016991701244813,5.311877232662665,4.7221061698269615,23.884398340248964,24.78588162259864,22.982915057899287,14.763008298755189,15.240710100979587,14.28530649653079
Retrieval Tools,5.571428571428571,5.9037391867647635,5.239117956092379,53.0,59.978522922060044,46.021477077939956,6.0,6.0,6.0
Truck Bed Stake Pocket Covers,3.6129999999999995,4.77504262007628,2.450957379923719,31.188,38.657812909344266,23.718187090655732,6.837999999999999,7.122736573655899,6.553263426344099
Truck Bed Seals,1.0,1.0,1.0,20.0,20.0,20.0,16.0,16.0,16.0
Truck Bed Lights,1.4285714285714286,1.7608820439076212,1.096260813235236,9.285714285714286,9.701102554884526,8.870326016544047,6.177142857142856,7.818757296903647,4.535528417382065
Bed & Ladder Racks,9.807164179104477,11.347527527920136,8.266800830288819,65.2389552238806,69.18828785399671,61.28962259376448,19.624776119402984,21.541332700709976,17.708219538095992
Bed & Ladder Rack Accessories,3.35225,4.004462368013169,2.700037631986832,9.828000000000001,12.78073400947555,6.875265990524452,4.859249999999999,5.605675225139535,4.112824774860464
Receiver Hitch Ball Mounts,5.029296296296297,5.266799703256647,4.791792889335947,14.137087037037041,14.546398641101032,13.72777543297305,6.1377407407407425,6.4085871734879305,5.8668943079935545
Auxiliary Lights,5.596923630769228,5.72636916609329,5.467478095445166,12.063513361538458,12.50046046553486,11.626566257542056,7.213380899999987,7.371587300285204,7.055174499714771
Auxiliary Light Mount Brackets,6.49266171792153,6.8567135275975435,6.128609908245517,20.919024390243898,22.397254368845726,19.44079441164207,7.846161187698832,8.194334151460286,7.497988223937377
Auxiliary Light Wiring Harnesses,2.916732673267326,3.3427929966637278,2.4906723498709242,9.310891089108912,10.628057634914214,7.99372454330361,5.4642574257425744,5.977369609699962,4.951145241785187
Clutch Kits,5.075061583577712,5.099868597713256,5.050254569442169,14.131231671554252,14.160213204960236,14.102250138148268,14.208445747800587,14.259419733100799,14.157471762500375
Pressure Plates,3.021875,3.040073765080163,3.0036762349198374,13.969791666666667,13.992723003841661,13.946860329491674,13.958708333333334,14.002214088640224,13.915202578026443
Clutch Discs,1.9973684210526317,2.003298507268886,1.991438334836377,12.493062200956938,12.507877841488916,12.47824656042496,12.378401913875598,12.428612203375232,12.328191624375963
Throwout Bearings,2.0999126637554584,2.1534984348151123,2.0463268926958045,4.3024017467248905,4.4889729852423335,4.115830508207448,3.9021834061135365,4.036581356251738,3.7677854559753343
Clutch Kit Replacement Components,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
Pilot Bearings & Bushings,1.0510256410256409,1.1590956068732654,0.9429556751780164,3.399487179487179,3.7235086948249654,3.0754656641493927,2.137564102564103,2.3454369975944336,1.929691207533772
Clutch Alignment Tools,1.0067567567567568,1.0122566989438107,1.001256814569703,1.203581081081081,1.4065199306837037,1.0006422314784582,6.879256756756757,6.985325677642647,6.773187835870866
Wrenches,5.08875,8.569631931378616,1.6078680686213844,10.2225,14.693055491776095,5.751944508223906,5.06125,7.042282971489616,3.080217028510385
Flywheels,3.0425572519083968,3.2139689871640593,2.871145516652734,13.954961832061068,14.076037109930216,13.83388655419192,14.506106870229008,14.776772370032301,14.235441370425715
Flywheel Counterweights,2.0,2.0,2.0,12.5,12.5,12.5,12.5,12.5,12.5
Bolts,0.8931259842519687,1.0448309193797156,0.7414210491242218,7.195779527559055,7.289063604444082,7.102495450674028,4.642307086614173,4.692003684162032,4.592610489066315
Crush Washers,1.1111111111111114,1.9929737673467045,0.22924845487551826,2.8,4.2556670644246095,1.3443329355753901,1.6566666666666667,2.7415948789921,0.5717384543412334
Fuel Injector O-Rings,0.4326666666666667,0.7539397543716153,0.11139357896171809,2.375333333333333,3.2831416405659466,1.467525026100719,1.696,2.2738449396010902,1.1181550603989097
Fuel Pressure Regulator Rebuild Components,1.545,2.4164490813404598,0.6735509186595399,4.422499999999999,6.773934855997414,2.071065144002585,3.8975,6.227841937554465,1.567158062445535
Fuel Rail Fittings,1.5275,1.6396759644743106,1.4153240355256895,4.6205,5.196475081818518,4.044524918181482,3.4425,4.0310906603231835,2.8539093396768163
Plug & Cap Fittings,1.4586274509803923,1.5622744775559205,1.354980424404864,4.349117647058822,4.603581885108348,4.094653409009297,3.9844117647058828,4.200983005726589,3.7678405236851766
Fuel Pressure Regulator Fittings,1.4216666666666666,2.388391206187683,0.4549421271456503,2.53,3.8963246394185376,1.1636753605814623,2.0516666666666663,3.5569214412696994,0.5464118920636332
Cam Gears - Adjustable,1.7200000000000002,1.7200000000000002,1.7200000000000002,6.892500000000001,6.997488922804459,6.787511077195543,6.697500000000001,6.802488922804459,6.592511077195542
Fuel Rails,5.819010989010991,6.903315196979159,4.7347067810428225,15.119120879120878,16.318106757083722,13.920135001158034,6.2323076923076925,6.951630508084551,5.512984876530834
Fuel Filters,4.207739726027399,4.486827920072206,3.9286515319825925,7.186551369863014,7.573443377550077,6.799659362175951,4.839606164383565,5.1015467835569694,4.577665545210161
Fuel Pressure Regulator Rebuild Kits,2.036363636363636,2.2793355746104456,1.7933916981168267,5.706818181818182,6.350754267170611,5.062882096465753,4.301363636363636,4.615490013604452,3.9872372591228196
Wiring Connectors & Pigtails,2.5008364779874226,2.75430264445901,2.247370311515835,5.894641509433966,6.271266349821217,5.518016669046715,3.9356729559748445,4.2271970876627245,3.6441488242869644
Engine Management System Components,1.6585714285714288,1.9981683813890385,1.318974475753819,7.75047619047619,9.149495549132755,6.351456831819625,6.66047619047619,8.036570752671613,5.284381628280768
Gauges - Digital,4.647864321608037,4.753232073173506,4.542496570042569,7.068190954773866,7.410714467718146,6.725667441829586,5.720854271356782,5.89061505749139,5.551093485222173
Oxygen Sensor Wideband Control Kits,3.0875,3.6284896001615676,2.546510399838432,9.379999999999999,13.245604750542615,5.514395249457384,7.166250000000001,8.63541086610194,5.69708913389806
Engine Management Systems,8.234999999999998,10.105562114596282,6.364437885403714,15.370111111111111,16.64557178968537,14.094650432536854,12.711999999999996,13.6623382078863,11.761661792113692
Oxygen Sensors,2.239893617021277,2.448923309404591,2.030863924637963,5.090106382978724,5.425259975825284,4.7549527901321635,2.72404255319149,3.0507921633456805,2.397292943037299
Oxygen Sensor Plugs,2.8527777777777774,4.423311017930269,1.2822445376252858,6.772222222222222,9.737591148990218,3.806853295454227,3.6288888888888895,4.96178553908568,2.2959922386920995
Air Temperature Sensors,1.693103448275862,1.9005744078522195,1.4856324886995045,5.394827586206896,6.277323531559005,4.512331640854787,3.1906896551724135,3.8882754421203756,2.4931038682244515
Coolant Temperature Sensors,1.4548387096774194,1.6724776718123169,1.2371997475425218,3.6516129032258062,4.358941955629196,2.9442838508224165,1.884838709677419,2.299441664400239,1.470235754954599
Data Acquisition,3.163478260869565,3.4049069966545824,2.9220495250845477,10.094057971014491,10.935104177758927,9.253011764270056,7.6121739130434785,8.249383888136713,6.974963937950245
Wiring Harnesses,3.758207547169813,4.04217261531597,3.474242479023656,12.633616352201257,13.772661738590699,11.494570965811814,7.659685534591197,8.1415662476471,7.177804821535293
Data Acquisition Replacement Components,2.7145833333333336,3.347978219645487,2.08118844702118,7.793055555555554,9.050657865398009,6.535453245713099,5.9300000000000015,6.7422915921961675,5.1177084078038355
Gauge Sending Units,1.9234513274336282,2.117738362411644,1.7291642924556125,5.554601769911505,5.966143238554892,5.143060301268118,3.7573893805309746,4.079034729835566,3.4357440312263825
MAP Sensors,2.0957894736842104,2.2843606514292834,1.9072182959391373,3.715263157894736,4.0863283192651965,3.3441979965242754,3.3905263157894736,3.805066487083092,2.975986144495855
Flex Fuel Sensors,2.27,2.27,2.27,4.9,4.9,4.9,4.34,4.34,4.34
Speedometer GPS Interface Modules,3.875,4.891216647065489,2.858783352934511,7.625,8.948388171991544,6.301611828008456,4.875,5.891216647065489,3.858783352934511
Data Acquisition Components,3.05,3.790184132128162,2.3098158678718375,7.05,8.612610945603898,5.487389054396101,4.25,4.661213406737868,3.838786593262132
Fuel Injection System Wiring Harnesses,5.213828125,5.693523104838822,4.734133145161178,9.915390625,10.400623367694738,9.430157882305263,7.66484375,8.185666331880102,7.1440211681199
Oxygen Sensor Mounting Clamps,2.27,2.27,2.27,10.0,10.0,10.0,7.0,7.0,7.0
Boost Controllers,3.4404651162790696,3.8113473757238725,3.0695828568342667,6.286744186046511,6.825645001868786,5.747843370224237,4.861951219512195,5.230506780204146,4.493395658820245
Ignition Coil Drivers,1.9142857142857141,2.4834333332660763,1.345138095305352,4.528571428571429,5.154876296986211,3.9022665601566473,3.8514285714285714,4.0091740555308855,3.6936830873262574
Ignition Systems - Coil on Plug,3.22,,,13.25,,,11.45,,
Data Acquistion Wiring Harnesses,2.6719999999999997,3.0009391975183277,2.3430608024816717,6.8236,7.407991501654654,6.239208498345346,6.043600000000001,6.725559223100749,5.361640776899254
Extension Harnesses,1.2950000000000002,1.5493889343233658,1.0406110656766345,12.891666666666667,13.872215325744184,11.91111800758915,8.45,8.924180406879474,7.975819593120525
Water/Methanol Injection System Replacement Parts,4.307647058823529,5.167445293291363,3.447848824355696,7.508823529411764,9.55135671251088,5.466290346312646,6.574117647058824,7.821136084535682,5.327099209581966
Water/Methanol Injection System Pumps,5.006666666666667,8.192992459467643,1.8203408738656899,8.383333333333333,11.88753218362014,4.879134483046526,6.863333333333333,11.296413060151359,2.430253606515307
Water/Methanol Injection System Controllers,3.6119999999999997,4.768852579952221,2.455147420047778,7.236,8.963868433644741,5.508131566355259,6.656000000000001,8.500126673727983,4.811873326272018
Water/Methanol Injection Systems,11.25925925925926,11.82691765868481,10.69160085983371,22.97685185185185,24.605398400609637,21.348305303094065,17.87037037037037,18.426650696967886,17.314090043772854
Engine Position Modules,3.3433333333333337,4.388876159730361,2.2977905069363063,7.493333333333332,11.355078504282556,3.631588162384108,4.746666666666667,5.490820294532219,4.002513038801115
Water/Methanol Injection System Nozzles,4.463333333333333,4.52364463298822,4.403022033678446,4.534848484848485,4.592169141545279,4.4775278281516915,4.527272727272727,4.572132371644131,4.482413082901323
Water/Methanol Injection System Reservoirs,8.8,10.686210391800307,6.913789608199694,14.85,16.76821247456317,12.93178752543683,13.6,16.32023185536655,10.879768144633447
Gauge Wiring Harnesses,2.2425,2.8109905710488627,1.6740094289511376,7.0375,7.69932655875898,6.37567344124102,4.9781249999999995,5.390115951033106,4.566134048966893
Oxygen Sensor Harnesses,5.935925925925926,6.963178054688853,4.908673797163,13.205185185185185,15.336113006844524,11.074257363525845,12.175185185185185,14.664439023266791,9.68593134710358
Weld-In Bungs & Fittings,1.7256818181818183,2.1374553545807524,1.3139082817828842,5.868333333333333,6.187981406357559,5.5486852603091075,4.207878787878787,4.515219755283027,3.9005378204745473
Boost Controller Components,2.635,3.2353715738372872,2.0346284261627123,5.95,7.6770963082990455,4.222903691700955,5.67,7.857655323845458,3.482344676154542
Gauge Protective Boots,1.3,,,6.0,,,4.0,,
Camshaft Position Sensor Interrupters,0.46,0.46,0.46,5.7,5.7,5.7,2.85,2.85,2.85
Fuel Injection System Components,3.5628571428571436,3.964573065852301,3.161141219861986,7.917460317460317,8.806488501132664,7.02843213378797,5.915873015873014,6.339642165635757,5.492103866110272
Interconnect Cables,2.4083333333333337,3.6957359115585655,1.120930755108102,4.441666666666666,5.000035994345111,3.8832973389882217,3.6,3.8988024999646904,3.3011975000353098
Gauge Sending Unit Extension Harnesses & Modules,2.433333333333333,3.325770644464674,1.5408960222019925,7.4833333333333325,9.24718907778854,5.719477588878124,5.2444444444444445,5.594028096502244,4.894860792386645
Fuel Filter Elements - Replacement,3.1955999999999993,3.9091571073323252,2.4820428926676734,4.441375,5.164007674036152,3.7187423259638472,3.2743750000000005,3.670102608371936,2.878647391628065
Hoses - Miscellaneous,2.023563218390805,2.2590866890141283,1.788039747767482,9.998160919540227,10.712658807423308,9.283663031657147,6.589655172413794,7.1322021564354365,6.047108188392151
Fuel Line Adapter Fittings,1.65547619047619,1.871418168198614,1.4395342127537663,4.982142857142857,5.303672252261689,4.660613462024025,3.3583333333333334,3.5919603083689378,3.124706358297729
Fuel Filter Replacement Parts,1.7774999999999999,2.187085893068235,1.3679141069317649,6.4275,10.219683639280571,2.63531636071943,2.8425000000000002,4.112208655227742,1.5727913447722581
Cam Gears - Adjustable Replacement Components,0.16,,,4.6,,,2.8,,
Fuel Injector Driver Modules,2.8600000000000003,3.0302333003638107,2.68976669963619,12.072999999999999,13.594661094718887,10.55133890528111,7.49,8.259729793403478,6.720270206596522
Air Filter Cleaners & Oil,7.63631067961165,8.243440391501231,7.029180967722071,9.899805825242717,10.603418009280947,9.196193641204488,7.037475728155341,7.698294458674185,6.3766569976364975
Air Filter Wraps & Prefilters,2.690864285714286,2.860777912147089,2.5209506592814828,6.2742499999999986,6.405136163246048,6.143363836753949,5.597255952380959,5.688738413782742,5.505773490979175
Air Intake Tubes,6.193801652892565,6.429111551132509,5.95849175465262,17.32797685950413,17.88173483524407,16.77421888376419,9.465231404958676,9.729577275515002,9.20088553440235
Fuel Injector Mounts & Bungs,0.655,1.633687908036126,-0.3236879080361259,5.5,6.322426813475736,4.677573186524264,3.75,4.161213406737868,3.338786593262132
Air Intake Bypass Valves,3.789,3.959364809534474,3.6186351904655263,11.338999999999999,13.803241620970322,8.874758379029675,7.6640000000000015,8.570814234153803,6.757185765846201
Air Intake Kit Components,5.769712365591398,6.051930036395129,5.487494694787667,10.44070698924732,10.983203854722719,9.89821012377192,7.598583333333337,7.884286432301822,7.312880234364851
Air Filter Elements,7.778430484988358,7.848559857898276,7.70830111207844,10.471765357967564,10.542690197487037,10.400840518448092,7.530197921477887,7.596355316435154,7.464040526520621
Air Intake Kits,11.78835376951822,11.830023918932817,11.746683620103624,22.673460676310153,22.779781450892173,22.567139901728133,14.663140722291459,14.708671208582537,14.617610236000381
Intercoolers,10.882748387096775,11.116107389099774,10.649389385093777,41.230410322580646,41.75887421189579,40.701946433265505,23.071116129032244,23.667315843438747,22.474916414625742
Intercooler Pipes,11.547089430894312,11.72353504314015,11.370643818648475,26.264373983739837,26.96443424478193,25.564313722697744,13.907821138211384,14.140544724135971,13.675097552286797
Hose Clamp Kits,5.083333333333333,6.059684696985216,4.10698196968145,12.056372549019608,13.854824083034655,10.25792101500456,8.487745098039216,9.621970754184956,7.353519441893477
Intercooler Hoses,6.895840707964603,7.7495957295909665,6.04208568633824,15.129026548672568,16.14185978742432,14.116193309920817,9.377433628318585,9.647970896783493,9.106896359853677
Shock & Strut Braces,15.587335907335907,17.08169249330252,14.092979321369295,32.851776061776064,35.09286535070899,30.610686772843138,10.691428571428572,11.274350497529886,10.108506645327259
Air Filter Service Indicators,3.0,3.7802225818133364,2.2197774181866636,8.919166666666667,10.521657685918402,7.316675647414933,7.939166666666668,8.522167768303232,7.356165565030103
Exhaust Systems,14.497699268386585,14.57623498952813,14.41916354724504,51.22142082563156,51.509407738585836,50.93343391267729,18.543056454097307,18.627168995692713,18.4589439125019
Coil-Overs,7.16806313416009,7.273220215995504,7.062906052324676,30.30922491544532,30.515533198702364,30.102916632188276,17.53925591882751,17.638439994638283,17.44007184301674
Shocks & Struts,5.444948695507029,5.500334212600401,5.389563178413657,19.01314011836229,19.15244530638401,18.87383493034057,11.107539551554956,11.25035465909345,10.964724444016461
Shock Kits,8.697317073170732,9.809349672496044,7.5852844738454195,30.511890243902442,31.546185009676428,29.477595478128457,13.457987804878046,14.556869984974359,12.359105624781733
Lift Springs - Coil Springs,7.163803418803417,7.351316970840369,6.976289866766466,23.146588983050847,23.735036156200128,22.558141809901567,11.108368644067795,11.508426570902452,10.708310717233138
Bump Stops,6.7105263157894735,7.752183009471937,5.66886962210701,11.447368421052632,12.611445200775492,10.283291641329772,9.092105263157896,10.367991337780328,7.816219188535462
Steering Stabilizers,4.661646634615391,4.932558392172471,4.390734877058311,21.28532219570407,21.838575090409584,20.732069300998553,6.8282696897374695,7.237338272303419,6.41920110717152
Lowering Springs - Coil Springs,9.12767412935324,9.48999520741017,8.76535305129631,20.3097014925373,20.692127169629966,19.927275815444634,16.560820895522397,16.786986603855524,16.33465518718927
Suspension Lowering Kits,10.65227272727277,11.187372475860935,10.117172978684605,19.129195804195838,19.858196133499316,18.40019547489236,21.026048951048985,21.739230026791358,20.312867875306612
Fuel Pumps - Diesel,8.293005464480878,8.617582330882618,7.9684285980791385,17.738306010928962,18.358042418530623,17.118569603327302,11.704808743169401,12.026563412071075,11.383054074267728
Fuel Pumps - Diesel Components,6.483076923076923,8.46542642499144,4.500727421162406,7.703846153846154,9.187979132381052,6.219713175311256,7.16076923076923,8.855824521596826,5.465713939941633
Torque Converters,8.976100628930812,9.250198867953715,8.702002389907909,14.128930817610064,14.17604012022036,14.081821514999767,14.061006289308184,14.106072466384397,14.01594011223197
Oil Filters,4.6775820000000055,4.849387090216986,4.505776909783025,5.084499999999996,5.324919456489854,4.844080543510137,4.319535999999999,4.540586162886148,4.09848583711385
Engine Service Kits,11.729999999999999,13.051176905203915,10.408823094796082,15.166666666666666,18.114174197961493,12.219159135371841,10.583333333333334,13.097383874731861,8.069282791934807
Automatic Transmission Filters - Direct Fit,3.338095238095238,3.907853466696773,2.7683370094937025,11.333333333333334,12.686959538683396,9.979707127983271,6.947857142857143,8.093428854948101,5.802285430766185
Sway Bars,26.443883597883598,27.257041017231938,25.63072617853526,27.574279100529093,28.470089428048393,26.678468773009794,11.871421957671956,12.178891444858781,11.56395247048513
Sway Bar End Links,6.83897859922179,7.37586089190298,6.302096306540601,7.602772373540861,7.979562729905395,7.225982017176327,4.992509727626465,5.144971351931952,4.840048103320978
Tow Hooks,3.8141743119266054,4.038495337932772,3.589853285920439,8.534633027522936,8.90869604484574,8.160570010200132,6.1738073394495405,6.4477644352078025,5.8998502436912785
Motor Mounts & Inserts,4.799705078125008,4.954586466228396,4.64482369002162,8.767949218750003,9.078964241319511,8.456934196180494,6.577193359375007,6.757428945458299,6.3969577732917156
